Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 32.56      0.14     0.14    77880     0.00     0.00  filledPolygonRGBAMT(SDL_Renderer*, short const*, short const*, int, unsigned char, unsigned char, unsigned char, unsigned char, int**, int*)
 30.23      0.27     0.13                             _mcount_private
 20.93      0.36     0.09                             __fentry__
  4.65      0.38     0.02                             D3D_ActivateRenderer
  2.33      0.39     0.01   131177     0.00     0.00  vec2<float>::vec2(vec2<float> const&)
  2.33      0.40     0.01    77880     0.00     0.00  polygon(SDL_Renderer*, short const*, short const*, int)
  2.33      0.41     0.01    52392     0.00     0.00  RenderSystem::renderEntity(entityx::Entity)
  2.33      0.42     0.01                             D3D_RenderDrawLines
  2.33      0.43     0.01                             SDL_getenv_REAL
  0.00      0.43     0.00  3320048     0.00     0.00  hline(SDL_Renderer*, short, short, short)
  0.00      0.43     0.00  1818849     0.00     0.00  entityx::Entity::Id::index() const
  0.00      0.43     0.00   816648     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::operator[](unsigned long long) const
  0.00      0.43     0.00   711532     0.00     0.00  entityx::Entity::Id::version() const
  0.00      0.43     0.00   395931     0.00     0.00  std::_Base_bitset<2ull>::_S_whichbit(unsigned long long)
  0.00      0.43     0.00   395760     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::size() const
  0.00      0.43     0.00   395355     0.00     0.00  entityx::EntityManager::valid(entityx::Entity::Id) const
  0.00      0.43     0.00   317969     0.00     0.00  std::vector<std::bitset<64ull>, std::allocator<std::bitset<64ull> > >::size() const
  0.00      0.43     0.00   316177     0.00     0.00  entityx::EntityManager::assert_valid(entityx::Entity::Id) const
  0.00      0.43     0.00   264715     0.00     0.00  std::_Base_bitset<2ull>::_S_maskbit(unsigned long long)
  0.00      0.43     0.00   264715     0.00     0.00  std::_Base_bitset<2ull>::_S_whichword(unsigned long long)
  0.00      0.43     0.00   263353     0.00     0.00  std::vector<entityx::BasePool*, std::allocator<entityx::BasePool*> >::size() const
  0.00      0.43     0.00   263329     0.00     0.00  std::vector<entityx::BasePool*, std::allocator<entityx::BasePool*> >::operator[](unsigned long long)
